LIFNR,NAME1,NAME2,ORT01,LAND1,STRAS,PSTLZ,REGIO,TELF1,TELFX,KTOKK,SPRAS,STCD1,STCD2,XCPDK,LOEVM,SPERR,SPERZ,BEGRU,ERDAT,BUKRS,AKONT,ZTERM,ZWELS,REPRF,VRSZL,KULTG,MINDK,ZINDT,ALTKN,PERNR,DATLZ,LNRZA,XVERR,TOGRU,TLFXS,STCD3,UZAWE,EKVBD,EKORG,WAERS,ZTERM_LFM1,INCO1,INCO2,MINBW,KZRET,LFABC,VRFKZ,LIEFF,WMFST,WEBRE,XERSY,XNBWY,PLIFZ,DISPO,RDPRF,MEGRU,UNLOADING_POINT,dim_entity_type,MATNR,ERSDA,ERNAM,LAEDA,AENAM,MTART,MBRSH,MATKL,BISMT,MEINS,BSTME,ZEINR,ZEIVR,ZEIFO,AESZN,BLANZ,LABOR,EKWSL,BRGEW,NTGEW,WERKS,PSTAT,LVORM,BWTTY,MTVFP,DISMM,DISLS,BERID,MABST,MINBE,EISBE,MTVLP,WEBAZ,LGPRO,LGFSB,RGEKZ,FEVOR,INFNR,IDNLF,MAHN1,MAHN2,MAHN3,TXZ01,MAKTX,UMREZ,UMREN,LMEIN,LTSNR,NORMT,VERKF,VREPZ,NETPR,EKORG_EINE,ESOKZ,NETPR_EINE,PEINH,BPRME,PRDAT,EKGRP,MWSKZ,UEBTO,UNTTO,BSTMA,BSTMI
V000132,Vendor 132 Ltd,Vendor 132 Pvt,Jaipur,IN,934 Industrial Area,497778.0,MH,919170130681.0,912288702197.0,1.0,EN,GSTIN0000000132,PAN00000132,,X,,,1.0,20210322.0,2000.0,21000000.0,NET60,B,,1.0,X,,,,,20210204.0,,,GRP01,,TAN56119311,C,USER003,3000.0,USD,0002,EXW,DESTINATION,2631.08,,C,2.0,,1.0,X,,,22.0,MRP1,1.0,MG01,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000133,Vendor 133 Ltd,Vendor 133 Pvt,Kolkata,IN,933 Industrial Area,420274.0,MH,919672603677.0,912253187797.0,1.0,EN,GSTIN0000000133,PAN00000133,,,X,,1.0,20180519.0,2000.0,21000000.0,NET60,B,X,,,,,OLD52058,,20241009.0,V000030,,GRP01,,,C,USER002,2000.0,EUR,NET30,EXW,DESTINATION,38013.14,X,A,,,1.0,X,,,20.0,MRP4,1.0,MG01,Dock 5,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000134,Vendor 134 Ltd,Vendor 134 Pvt,Delhi,IN,527 Industrial Area,453166.0,MH,919308839497.0,912244111521.0,1.0,EN,GSTIN0000000134,PAN00000134,,,,,1.0,20201110.0,1000.0,21000000.0,0002,T,X,3.0,,B,,,,20241209.0,,,GRP01,917474272494.0,,C,USER003,2000.0,INR,NET30,EXW,DESTINATION,2361.4,,C,,,,X,,X,8.0,MRP2,1.0,,Dock 5,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000135,Vendor 135 Ltd,Vendor 135 Pvt,Delhi,IN,791 Industrial Area,573586.0,MH,919213689624.0,912248256704.0,1.0,EN,GSTIN0000000135,PAN00000135,X,,,,1.0,20200601.0,3000.0,21000000.0,0002,T,X,,,B,20240528.0,,P2522,20230407.0,,,,,TAN14241081,C,USER001,2000.0,USD,NET30,DDP,DESTINATION,4721.18,,A,2.0,,,X,,,5.0,MRP2,1.0,MG03,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000136,Vendor 136 Ltd,Vendor 136 Pvt,Ahmedabad,IN,72 Industrial Area,522897.0,MH,919938452762.0,912296910537.0,1.0,EN,GSTIN0000000136,PAN00000136,,,,,1.0,20220510.0,2000.0,21000000.0,0001,T,X,1.0,,B,,,P8672,20221108.0,,,GRP02,919143161161.0,,C,,3000.0,USD,0001,CIF,DESTINATION,49738.74,,C,2.0,,3.0,X,X,X,19.0,,1.0,MG01,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000137,Vendor 137 Ltd,Vendor 137 Pvt,Bangalore,IN,121 Industrial Area,531911.0,MH,919760321071.0,912265132612.0,1.0,EN,GSTIN0000000137,PAN00000137,,,X,,1.0,20180325.0,1000.0,21000000.0,NET60,B,,1.0,,A,20240113.0,,P2593,20180504.0,V000026,,GRP02,,,C,,2000.0,EUR,NET30,DDP,DESTINATION,13800.67,X,C,,,2.0,X,,,20.0,MRP5,1.0,,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000138,Vendor 138 Ltd,Vendor 138 Pvt,Surat,IN,459 Industrial Area,452547.0,MH,919878847594.0,912269789438.0,1.0,EN,GSTIN0000000138,PAN00000138,X,,,,1.0,20220112.0,3000.0,21000000.0,0002,C,,3.0,,,,,,20240909.0,,X,,,TAN70413482,C,,1000.0,EUR,NET30,FOB,DESTINATION,39314.79,,A,,,1.0,X,,,27.0,MRP2,1.0,MG01,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000139,Vendor 139 Ltd,Vendor 139 Pvt,Mumbai,IN,295 Industrial Area,475657.0,MH,919346694154.0,912254737238.0,1.0,EN,GSTIN0000000139,PAN00000139,,,,,1.0,20220203.0,1000.0,21000000.0,2/10NET30,C,,3.0,,C,,OLD36287,,20180430.0,V000038,,,,TAN60511038,C,USER002,3000.0,EUR,0002,EXW,DESTINATION,31138.21,,C,2.0,X,,X,,X,21.0,MRP4,1.0,,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000140,Vendor 140 Ltd,Vendor 140 Pvt,Chennai,IN,370 Industrial Area,596592.0,MH,919551443920.0,912220304638.0,1.0,EN,GSTIN0000000140,PAN00000140,,,,,1.0,20190303.0,2000.0,21000000.0,NET60,B,,,,,,,,20190507.0,V000027,,GRP03,,TAN14829304,C,,2000.0,EUR,0002,EXW,DESTINATION,8881.36,X,B,2.0,,,X,,X,14.0,MRP3,1.0,MG02,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000141,Vendor 141 Ltd,Vendor 141 Pvt,Ahmedabad,IN,17 Industrial Area,486076.0,MH,919046618961.0,912267771449.0,1.0,EN,GSTIN0000000141,PAN00000141,,,,,1.0,20211218.0,2000.0,21000000.0,2/10NET30,C,X,3.0,,,20241111.0,,P8464,20210609.0,,,,,TAN84714519,C,,3000.0,INR,NET30,EXW,DESTINATION,36356.18,,B,,,3.0,X,X,,19.0,MRP2,1.0,MG02,Dock 6,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000142,Vendor 142 Ltd,Vendor 142 Pvt,Chennai,IN,905 Industrial Area,522235.0,MH,919726742812.0,912297053771.0,1.0,EN,GSTIN0000000142,PAN00000142,,,,,1.0,20200810.0,1000.0,21000000.0,0002,T,X,,,,,,P6085,20230404.0,,,,,,C,USER002,2000.0,INR,0001,DDP,DESTINATION,33372.32,X,A,1.0,,,X,,,21.0,MRP4,1.0,MG02,Dock 3,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000143,Vendor 143 Ltd,Vendor 143 Pvt,Pune,IN,602 Industrial Area,451601.0,MH,919772972192.0,912213564796.0,1.0,EN,GSTIN0000000143,PAN00000143,,,,,1.0,20210502.0,1000.0,21000000.0,0002,C,,2.0,,C,,OLD35237,,20240426.0,,,,,,C,,2000.0,USD,2/10NET30,DDP,DESTINATION,46695.87,,B,1.0,,,X,,X,18.0,,1.0,,Dock 2,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000144,Vendor 144 Ltd,Vendor 144 Pvt,Mumbai,IN,529 Industrial Area,503377.0,MH,919225943307.0,912259097022.0,1.0,EN,GSTIN0000000144,PAN00000144,,,,,1.0,20210627.0,1000.0,21000000.0,0001,B,,3.0,,C,20241013.0,OLD47560,P8625,20230517.0,,,GRP01,911172146239.0,,C,USER001,3000.0,EUR,NET30,DAP,DESTINATION,15669.14,,B,,,3.0,X,X,X,4.0,,1.0,MG03,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000145,Vendor 145 Ltd,Vendor 145 Pvt,Mumbai,IN,463 Industrial Area,599700.0,MH,919371444091.0,912289775040.0,1.0,EN,GSTIN0000000145,PAN00000145,,,,,1.0,20221119.0,1000.0,21000000.0,0002,T,X,3.0,,C,,,,20230414.0,,,GRP02,,TAN67805041,C,USER003,1000.0,USD,0001,EXW,DESTINATION,4183.06,,C,1.0,,1.0,X,X,,17.0,,1.0,,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000146,Vendor 146 Ltd,Vendor 146 Pvt,Chennai,IN,152 Industrial Area,560290.0,MH,919823861612.0,912258892811.0,1.0,EN,GSTIN0000000146,PAN00000146,X,,,,1.0,20211004.0,3000.0,21000000.0,0001,C,,2.0,,B,20241123.0,,,20211007.0,,,GRP02,915401463562.0,TAN62221499,C,USER002,1000.0,USD,NET60,DAP,DESTINATION,48146.04,,C,2.0,,,X,X,,13.0,,1.0,MG03,Dock 7,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000147,Vendor 147 Ltd,Vendor 147 Pvt,Ahmedabad,IN,230 Industrial Area,422035.0,MH,919324008626.0,912216508066.0,1.0,EN,GSTIN0000000147,PAN00000147,,,,,1.0,20201103.0,1000.0,21000000.0,NET60,C,,1.0,X,,20240524.0,,,20180723.0,V000016,,,,TAN24681002,C,,1000.0,USD,2/10NET30,DAP,DESTINATION,46579.48,,B,1.0,,2.0,X,,,2.0,,1.0,MG03,Dock 6,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000148,Vendor 148 Ltd,Vendor 148 Pvt,Pune,IN,961 Industrial Area,474697.0,MH,919151177831.0,912291677340.0,1.0,EN,GSTIN0000000148,PAN00000148,,,X,,1.0,20190712.0,2000.0,21000000.0,2/10NET30,B,,1.0,X,C,20240204.0,,P8709,20180525.0,,,GRP03,912534993610.0,,C,USER004,2000.0,USD,2/10NET30,FOB,DESTINATION,47878.9,,A,1.0,X,,X,X,X,12.0,MRP4,1.0,,Dock 7,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000149,Vendor 149 Ltd,Vendor 149 Pvt,Kolkata,IN,53 Industrial Area,405189.0,MH,919877346779.0,912281569661.0,1.0,EN,GSTIN0000000149,PAN00000149,,,,,1.0,20210120.0,1000.0,21000000.0,2/10NET30,C,,1.0,,A,20240916.0,OLD46261,P4796,20250315.0,,,GRP02,913261016130.0,TAN84327616,C,,1000.0,INR,NET30,CIF,DESTINATION,1232.59,,B,2.0,X,2.0,X,,,2.0,MRP1,1.0,MG03,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000150,Vendor 150 Ltd,Vendor 150 Pvt,Kolkata,IN,579 Industrial Area,471111.0,MH,919325605038.0,912229521844.0,1.0,EN,GSTIN0000000150,PAN00000150,,,,,1.0,20191124.0,1000.0,21000000.0,2/10NET30,C,,1.0,X,,,OLD79766,P4666,20190822.0,V000040,X,,,,C,USER002,1000.0,USD,0002,CIF,DESTINATION,8002.21,X,C,,,,X,,,16.0,,1.0,MG02,Dock 2,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000151,Vendor 151 Ltd,Vendor 151 Pvt,Kolkata,IN,83 Industrial Area,576090.0,MH,919382769758.0,912239786475.0,1.0,EN,GSTIN0000000151,PAN00000151,,,,,1.0,20220408.0,1000.0,21000000.0,0001,T,,3.0,,C,,,,20190304.0,V000016,,GRP03,,,C,USER001,2000.0,EUR,0002,EXW,DESTINATION,21581.27,,A,,,,X,,,3.0,,1.0,,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000152,Vendor 152 Ltd,Vendor 152 Pvt,Jaipur,IN,984 Industrial Area,495163.0,MH,919429707903.0,912263797950.0,1.0,EN,GSTIN0000000152,PAN00000152,,,,,1.0,20220813.0,1000.0,21000000.0,2/10NET30,T,,3.0,,,20240619.0,,,20190901.0,,X,,919948948971.0,TAN30979701,C,,2000.0,USD,0001,DAP,DESTINATION,36995.44,,A,2.0,X,,X,X,,3.0,,1.0,MG02,Dock 2,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000153,Vendor 153 Ltd,Vendor 153 Pvt,Hyderabad,IN,919 Industrial Area,543370.0,MH,919765442678.0,912297576873.0,1.0,EN,GSTIN0000000153,PAN00000153,,,,X,1.0,20210506.0,3000.0,21000000.0,0001,C,,,X,B,20241018.0,OLD51831,P3354,20250605.0,,X,,,,C,USER003,1000.0,USD,NET60,EXW,DESTINATION,22557.01,,A,1.0,,1.0,X,,X,16.0,MRP2,1.0,MG01,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000154,Vendor 154 Ltd,Vendor 154 Pvt,Chennai,IN,970 Industrial Area,500605.0,MH,919854523360.0,912253722561.0,1.0,EN,GSTIN0000000154,PAN00000154,,,,,1.0,20220617.0,3000.0,21000000.0,NET60,T,X,3.0,,A,,,,20250208.0,,,GRP03,,TAN76396319,C,,1000.0,INR,0002,DAP,DESTINATION,21700.42,,B,,X,2.0,X,X,,15.0,MRP4,1.0,MG03,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000155,Vendor 155 Ltd,Vendor 155 Pvt,Pune,IN,573 Industrial Area,566153.0,MH,919207778707.0,912268774363.0,1.0,EN,GSTIN0000000155,PAN00000155,,,,,1.0,20180316.0,3000.0,21000000.0,2/10NET30,C,X,2.0,,,20240330.0,,,20201012.0,,,,,,C,,3000.0,EUR,NET30,CIF,DESTINATION,3830.5,,A,,,1.0,X,X,,23.0,MRP3,1.0,,Dock 1,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000156,Vendor 156 Ltd,Vendor 156 Pvt,Pune,IN,976 Industrial Area,442912.0,MH,919036829372.0,912216082988.0,1.0,EN,GSTIN0000000156,PAN00000156,,,,,1.0,20211025.0,1000.0,21000000.0,NET60,T,,1.0,X,,20240622.0,,P5227,20210819.0,,,GRP02,,TAN57347151,C,USER002,3000.0,EUR,0001,CIF,DESTINATION,45190.48,,A,2.0,X,1.0,X,X,,18.0,MRP5,1.0,MG01,Dock 6,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000157,Vendor 157 Ltd,Vendor 157 Pvt,Hyderabad,IN,70 Industrial Area,515975.0,MH,919115741641.0,912215112472.0,1.0,EN,GSTIN0000000157,PAN00000157,,,,,1.0,20200501.0,1000.0,21000000.0,0002,B,,,X,,,,,20241231.0,V000036,,GRP01,917401499984.0,,C,USER003,1000.0,EUR,NET60,FOB,DESTINATION,18687.89,X,B,1.0,,,X,X,,24.0,MRP3,1.0,MG02,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000158,Vendor 158 Ltd,Vendor 158 Pvt,Jaipur,IN,337 Industrial Area,583787.0,MH,919674210979.0,912213157779.0,1.0,EN,GSTIN0000000158,PAN00000158,,,,,1.0,20221001.0,3000.0,21000000.0,0002,T,,1.0,X,C,,,,20210106.0,,,,,TAN18244186,C,,1000.0,USD,0002,CIF,DESTINATION,34080.71,,A,,X,,X,X,X,29.0,MRP4,1.0,,Dock 1,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000159,Vendor 159 Ltd,Vendor 159 Pvt,Surat,IN,991 Industrial Area,445395.0,MH,919783512962.0,912282046026.0,1.0,EN,GSTIN0000000159,PAN00000159,,,,,1.0,20210608.0,2000.0,21000000.0,NET30,C,,,X,,,,P6954,20250314.0,,,GRP03,918158707130.0,TAN16055696,C,USER001,1000.0,EUR,NET30,DDP,DESTINATION,16984.42,,B,1.0,X,,X,,,14.0,MRP2,1.0,,Dock 3,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000160,Vendor 160 Ltd,Vendor 160 Pvt,Surat,IN,460 Industrial Area,415866.0,MH,919646910098.0,912241109404.0,1.0,EN,GSTIN0000000160,PAN00000160,,,,,1.0,20200406.0,2000.0,21000000.0,NET60,T,X,2.0,X,,20240310.0,,,20210121.0,V000011,,GRP01,917131669183.0,TAN59178730,C,USER001,2000.0,INR,0002,FOB,DESTINATION,1071.84,,B,,,,X,X,,30.0,MRP5,1.0,,Dock 2,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000161,Vendor 161 Ltd,Vendor 161 Pvt,Delhi,IN,175 Industrial Area,462467.0,MH,919588513494.0,912247615661.0,1.0,EN,GSTIN0000000161,PAN00000161,,,,,1.0,20220111.0,2000.0,21000000.0,NET60,T,,1.0,,,,,,20250730.0,,,,915347326358.0,TAN88378721,C,USER002,1000.0,USD,NET60,DDP,DESTINATION,44757.66,,B,,X,1.0,X,X,,29.0,,1.0,MG03,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000162,Vendor 162 Ltd,Vendor 162 Pvt,Kolkata,IN,835 Industrial Area,422704.0,MH,919046756178.0,912201328065.0,1.0,EN,GSTIN0000000162,PAN00000162,,,X,,1.0,20220719.0,2000.0,21000000.0,2/10NET30,T,,2.0,X,C,,,,20210102.0,,,,913409618453.0,TAN93906615,C,USER001,3000.0,USD,2/10NET30,EXW,DESTINATION,19567.88,,C,,X,,X,X,,10.0,MRP4,1.0,,Dock 1,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000163,Vendor 163 Ltd,Vendor 163 Pvt,Ahmedabad,IN,679 Industrial Area,487978.0,MH,919942558784.0,912223711064.0,1.0,EN,GSTIN0000000163,PAN00000163,,,,,1.0,20211215.0,1000.0,21000000.0,0002,C,,1.0,,A,,,,20180810.0,,,GRP02,919108060197.0,TAN23066102,C,USER003,1000.0,EUR,0001,EXW,DESTINATION,1030.07,,C,2.0,X,,X,X,X,1.0,,1.0,,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000164,Vendor 164 Ltd,Vendor 164 Pvt,Hyderabad,IN,796 Industrial Area,428180.0,MH,919958562498.0,912224963376.0,1.0,EN,GSTIN0000000164,PAN00000164,,,,,1.0,20211006.0,1000.0,21000000.0,2/10NET30,B,X,1.0,X,A,,,,20250621.0,,,,,TAN57964863,C,,1000.0,INR,0002,EXW,DESTINATION,13908.32,,B,1.0,,,X,X,,8.0,,1.0,MG02,Dock 1,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000165,Vendor 165 Ltd,Vendor 165 Pvt,Kolkata,IN,438 Industrial Area,575385.0,MH,919658879591.0,912285314663.0,1.0,EN,GSTIN0000000165,PAN00000165,,,X,,1.0,20200327.0,3000.0,21000000.0,NET60,B,,1.0,X,C,20240730.0,,,20190303.0,,X,GRP01,917195509080.0,TAN17576489,C,USER003,2000.0,INR,0002,FOB,DESTINATION,37751.58,X,C,1.0,,2.0,X,,,30.0,,1.0,MG01,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000166,Vendor 166 Ltd,Vendor 166 Pvt,Kolkata,IN,288 Industrial Area,485018.0,MH,919586871873.0,912249624013.0,1.0,EN,GSTIN0000000166,PAN00000166,,,,,1.0,20200103.0,1000.0,21000000.0,NET60,B,,1.0,,,,,,20250402.0,,,,919150660834.0,,C,USER002,1000.0,EUR,2/10NET30,EXW,DESTINATION,37196.72,,B,,,,X,X,X,21.0,MRP4,1.0,MG02,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000167,Vendor 167 Ltd,Vendor 167 Pvt,Kolkata,IN,781 Industrial Area,477486.0,MH,919295922947.0,912257867773.0,1.0,EN,GSTIN0000000167,PAN00000167,,,,,1.0,20201127.0,2000.0,21000000.0,NET60,T,,2.0,,A,20240923.0,OLD67817,,20191110.0,V000031,X,,,TAN96984204,C,USER004,3000.0,EUR,NET60,EXW,DESTINATION,11931.61,,B,2.0,X,,X,,,22.0,MRP5,1.0,MG02,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000168,Vendor 168 Ltd,Vendor 168 Pvt,Mumbai,IN,970 Industrial Area,471375.0,MH,919431427918.0,912219458114.0,1.0,EN,GSTIN0000000168,PAN00000168,,,,,1.0,20220413.0,2000.0,21000000.0,NET30,B,,,,,20241213.0,,,20231011.0,,X,,913568114320.0,TAN21400686,C,,1000.0,INR,0001,FOB,DESTINATION,17304.24,,B,,X,1.0,X,,,24.0,MRP1,1.0,MG01,Dock 3,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000169,Vendor 169 Ltd,Vendor 169 Pvt,Bangalore,IN,930 Industrial Area,440092.0,MH,919039793354.0,912248912276.0,1.0,EN,GSTIN0000000169,PAN00000169,,,,X,1.0,20180220.0,3000.0,21000000.0,NET60,B,X,3.0,,A,20241001.0,,P7423,20230619.0,,,GRP01,916597335112.0,,C,USER004,2000.0,EUR,NET30,EXW,DESTINATION,36909.9,,B,,X,3.0,X,X,X,19.0,,1.0,MG02,Dock 2,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000170,Vendor 170 Ltd,Vendor 170 Pvt,Delhi,IN,804 Industrial Area,441549.0,MH,919462833384.0,912244035094.0,1.0,EN,GSTIN0000000170,PAN00000170,,,,,1.0,20200601.0,2000.0,21000000.0,0002,C,,2.0,,A,20241022.0,,,20200426.0,,X,,,TAN50924657,C,USER001,1000.0,EUR,NET60,CIF,DESTINATION,49915.6,X,B,,,,X,X,,17.0,MRP5,1.0,MG03,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000171,Vendor 171 Ltd,Vendor 171 Pvt,Mumbai,IN,531 Industrial Area,577092.0,MH,919024596467.0,912288788765.0,1.0,EN,GSTIN0000000171,PAN00000171,X,,,,1.0,20180825.0,1000.0,21000000.0,NET30,T,,,,B,,,,20200915.0,,,,912440603960.0,TAN32787384,C,USER003,1000.0,EUR,0002,CIF,DESTINATION,43759.04,,B,,X,,X,,,4.0,MRP4,1.0,MG01,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000172,Vendor 172 Ltd,Vendor 172 Pvt,Ahmedabad,IN,324 Industrial Area,439108.0,MH,919140531096.0,912225665851.0,1.0,EN,GSTIN0000000172,PAN00000172,,,,,1.0,20200702.0,1000.0,21000000.0,0001,B,X,1.0,,,,OLD97965,,20190831.0,,,GRP01,,TAN53770661,C,USER004,3000.0,EUR,0002,EXW,DESTINATION,46224.29,,C,,,1.0,X,X,,1.0,,1.0,,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000173,Vendor 173 Ltd,Vendor 173 Pvt,Delhi,IN,768 Industrial Area,551130.0,MH,919740390196.0,912294308908.0,1.0,EN,GSTIN0000000173,PAN00000173,,,,,1.0,20200418.0,2000.0,21000000.0,0002,B,,1.0,X,,,,,20181122.0,,,,912613930214.0,TAN98284097,C,USER001,2000.0,USD,2/10NET30,FOB,DESTINATION,14993.17,,C,,X,,X,X,,19.0,,1.0,MG03,Dock 2,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000174,Vendor 174 Ltd,Vendor 174 Pvt,Pune,IN,423 Industrial Area,478466.0,MH,919010459912.0,912233318054.0,1.0,EN,GSTIN0000000174,PAN00000174,,,,,1.0,20200324.0,1000.0,21000000.0,0002,C,,,,B,20240317.0,OLD25420,P4004,20220218.0,V000025,,GRP01,916468905805.0,,C,USER002,1000.0,EUR,NET30,EXW,DESTINATION,43788.64,,A,,X,,X,X,X,20.0,,1.0,MG01,Dock 7,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000175,Vendor 175 Ltd,Vendor 175 Pvt,Chennai,IN,259 Industrial Area,486663.0,MH,919442224830.0,912243958284.0,1.0,EN,GSTIN0000000175,PAN00000175,,,,,1.0,20201201.0,2000.0,21000000.0,NET30,B,X,1.0,X,,20240116.0,,,20240129.0,,,GRP03,914929345815.0,,C,USER002,1000.0,EUR,0001,DDP,DESTINATION,26710.92,,C,,,1.0,X,,,9.0,MRP4,1.0,MG02,Dock 7,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000176,Vendor 176 Ltd,Vendor 176 Pvt,Pune,IN,947 Industrial Area,506147.0,MH,919738611411.0,912295089441.0,1.0,EN,GSTIN0000000176,PAN00000176,,,,,1.0,20201215.0,2000.0,21000000.0,2/10NET30,B,,2.0,X,,20240711.0,,P6412,20200331.0,,,,918869598656.0,,C,USER003,3000.0,EUR,2/10NET30,FOB,DESTINATION,37900.45,X,C,,X,2.0,X,,,8.0,,1.0,MG02,Dock 3,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
